log_q,log_p,log_y,cl5_secondcity_d,cl5_smtown_d,cl5_suburban_d,cl5_urban_d,distance_oil1000,log_driver,log_hhr_age,log_hhsize,popdensity_d2,popdensity_d3,popdensity_d4,popdensity_d5,popdensity_d6,popdensity_d7,popdensity_d8,publictransit_d,share,state_fips,total_wrkr,region
8.14354515075684,0.229807317256927,9.43348407745361,1,0,0,0,0.657087683677673,1.3862943649292,3.465735912323,1.60943794250488,0,0,1,0,0,0,0,0,0.346410274505615,1,3,5.0
8.03497219085693,0.229909151792526,11.1198825836182,1,0,0,0,0.657087683677673,0.6931471824646,3.61091780662537,1.0986123085022,0,0,0,1,0,0,0,0,0.0575557090342045,1,1,5.0
7.60823488235474,0.229825988411903,10.7684850692749,0,1,0,0,0.657087683677673,0.6931471824646,3.25809645652771,1.0986123085022,0,1,0,0,0,0,0,0,0.0533743910491467,1,2,5.0
7.45286798477173,0.229807123541832,11.6952466964722,0,1,0,0,0.657087683677673,0.6931471824646,3.465735912323,1.0986123085022,1,0,0,0,0,0,0,0,0.0180868171155453,1,2,5.0
7.80745410919189,0.229786187410355,11.6952466964722,0,1,0,0,0.657087683677673,1.0986123085022,3.93182563781738,1.3862943649292,1,0,0,0,0,0,0,0,0.025783859193325,1,2,5.0
7.69646644592285,0.229903757572174,11.1913414001465,0,0,1,0,0.657087683677673,0.6931471824646,3.61091780662537,1.3862943649292,0,0,1,0,0,0,0,0,0.0381980203092098,1,2,5.0
6.9479775428772,0.229754358530045,9.76995658874512,0,1,0,0,0.657087683677673,0.6931471824646,3.52636051177979,1.3862943649292,1,0,0,0,0,0,0,0,0.074853353202343,1,2,5.0
7.18938446044922,0.229991376399994,10.9595403671265,0,1,0,0,0.657087683677673,0.6931471824646,3.25809645652771,1.3862943649292,0,1,0,0,0,0,0,0,0.0290085561573505,1,2,5.0
7.28610515594482,0.229757860302925,11.6952466964722,0,1,0,0,0.657087683677673,0.6931471824646,3.58351898193359,1.0986123085022,0,1,0,0,0,0,0,0,0.0153079321607947,1,2,5.0
7.42884588241577,0.229708597064018,10.9595403671265,0,1,0,0,0.657087683677673,0.6931471824646,3.76120018959045,1.3862943649292,1,0,0,0,0,0,0,0,0.0368468314409256,1,2,5.0
6.68552112579346,0.22936774790287,9.76995658874512,0,0,1,0,0.657087683677673,0.6931471824646,4.33073329925537,1.0986123085022,0,0,0,0,1,0,0,0,0.057551946491003,1,1,5.0
5.85761785507202,0.229740247130394,9.76995658874512,0,0,1,0,0.657087683677673,0.6931471824646,3.09104251861572,1.3862943649292,0,0,1,0,0,0,0,0,0.0251575261354446,1,1,5.0
6.36310052871704,0.229808449745178,9.76995658874512,0,1,0,0,0.657087683677673,0.6931471824646,3.21887588500977,1.3862943649292,1,0,0,0,0,0,0,0,0.0417086221277714,1,2,5.0
7.18008756637573,0.229662746191025,11.4075651168823,0,1,0,0,0.657087683677673,0.6931471824646,3.43398714065552,1.0986123085022,0,0,1,0,0,0,0,0,0.0183557085692883,1,2,5.0
7.80207300186157,0.229862362146378,11.6952466964722,0,0,1,0,0.657087683677673,0.6931471824646,3.7376697063446,1.0986123085022,0,0,0,1,0,0,0,0,0.0256474353373051,1,2,5.0
7.66930866241455,0.229771792888641,11.6952466964722,0,1,0,0,0.657087683677673,1.3862943649292,3.76120018959045,1.7917594909668,0,0,1,0,0,0,0,0,0.0224566906690598,1,1,5.0
6.75077295303345,0.22990745306015,11.1198825836182,0,1,0,0,0.657087683677673,0.6931471824646,3.76120018959045,1.3862943649292,1,0,0,0,0,0,0,0,0.0159355569630861,1,1,5.0
7.14134550094604,0.2296322286129,10.5320959091187,0,1,0,0,0.657087683677673,0.6931471824646,3.33220458030701,1.0986123085022,1,0,0,0,0,0,0,0,0.0423783175647259,1,2,5.0
7.62325382232666,0.229756534099579,11.6952466964722,0,1,0,0,0.657087683677673,1.0986123085022,2.89037179946899,1.3862943649292,1,0,0,0,0,0,0,0,0.0214455835521221,1,2,5.0
6.89191484451294,0.229701682925224,11.4075651168823,1,0,0,0,0.657087683677673,0.6931471824646,3.71357202529907,1.3862943649292,0,0,0,1,0,0,0,0,0.0137605620548129,1,0,5.0
6.55819797515869,0.229657918214798,10.9595403671265,0,1,0,0,0.657087683677673,0.6931471824646,3.33220458030701,1.0986123085022,1,0,0,0,0,0,0,0,0.0154262529686093,1,2,5.0
6.52172756195068,0.229563638567924,11.4075651168823,0,1,0,0,0.657087683677673,1.3862943649292,3.91202306747437,1.3862943649292,0,0,0,1,0,0,0,0,0.0095018008723855,1,1,5.0
6.96481895446777,0.229638680815697,11.6952466964722,1,0,0,0,0.657087683677673,0.6931471824646,3.71357202529907,1.60943794250488,0,0,0,0,1,0,0,0,0.0111002326011658,1,2,5.0
7.54013204574585,0.229733988642693,10.7684850692749,0,1,0,0,0.657087683677673,1.0986123085022,2.89037179946899,1.3862943649292,1,0,0,0,0,0,0,0,0.0498558655381203,1,3,5.0
6.80123043060303,0.229551792144775,10.6572589874268,1,0,0,0,0.657087683677673,0.6931471824646,3.93182563781738,1.0986123085022,0,0,0,1,0,0,0,0,0.0266097635030746,1,1,5.0
6.4829044342041,0.229542210698128,11.2580327987671,1,0,0,0,0.657087683677673,0.6931471824646,3.465735912323,1.0986123085022,0,0,0,1,0,0,0,0,0.0106139434501529,1,2,5.0
7.22562265396118,0.229666635394096,10.7684850692749,0,1,0,0,0.657087683677673,0.6931471824646,3.66356158256531,1.0986123085022,1,0,0,0,0,0,0,0,0.0363996587693691,1,2,5.0
7.42064762115479,0.229821339249611,11.1198825836182,0,0,1,0,0.657087683677673,0.6931471824646,3.40119743347168,1.0986123085022,0,0,1,0,0,0,0,0,0.0311352722346783,1,1,5.0
7.47492218017578,0.229843884706497,11.4075651168823,0,1,0,0,0.657087683677673,0.6931471824646,3.63758611679077,1.0986123085022,1,0,0,0,0,0,0,0,0.0246544238179922,1,2,5.0
7.58418560028076,0.229903280735016,11.1913414001465,0,1,0,0,0.657087683677673,1.3862943649292,3.8712010383606,1.60943794250488,1,0,0,0,0,0,0,0,0.0341411083936691,1,4,5.0
7.71461820602417,0.229811206459999,11.6952466964722,0,0,1,0,0.657087683677673,0.6931471824646,3.43398714065552,1.3862943649292,0,0,1,0,0,0,0,0,0.0234985258430243,1,1,5.0
7.89360284805298,0.229848816990852,11.6952466964722,0,1,0,0,0.657087683677673,0.6931471824646,3.66356158256531,1.60943794250488,0,0,1,0,0,0,0,0,0.0281053446233273,1,1,5.0
7.61509132385254,0.229873433709145,10.9595403671265,0,1,0,0,0.657087683677673,0.6931471824646,3.49650764465332,1.3862943649292,1,0,0,0,0,0,0,0,0.0443973541259766,1,2,5.0
7.28466463088989,0.229742422699928,11.6952466964722,0,0,1,0,0.657087683677673,0.6931471824646,3.61091780662537,1.60943794250488,0,1,0,0,0,0,0,0,0.0152856595814228,1,1,5.0
6.98814725875854,0.22969126701355,11.6952466964722,1,0,0,0,0.657087683677673,0.6931471824646,3.465735912323,1.0986123085022,0,0,1,0,0,0,0,0,0.0113628208637238,1,2,5.0
8.31843566894531,0.229865103960037,10.9595403671265,0,1,0,0,0.657087683677673,0.6931471824646,3.33220458030701,1.0986123085022,0,0,0,0,0,0,0,0,0.0897040292620659,1,2,5.0
8.0898609161377,0.229823991656303,11.1913414001465,0,1,0,0,0.657087683677673,0.6931471824646,3.58351898193359,1.3862943649292,1,0,0,0,0,0,0,0,0.05660505220294,1,1,5.0
7.55494785308838,0.229832991957664,11.1913414001465,0,1,0,0,0.657087683677673,0.6931471824646,3.7376697063446,1.3862943649292,1,0,0,0,0,0,0,0,0.033155020326376,1,2,5.0
5.0011739730835,0.229115232825279,10.0212707519531,1,0,0,0,0.657087683677673,0.6931471824646,3.43398714065552,1.3862943649292,1,0,0,0,0,0,0,0,0.0083043053746223,1,1,5.0
7.59668731689453,0.229874759912491,11.1913414001465,0,1,0,0,0.657087683677673,0.6931471824646,3.33220458030701,1.3862943649292,1,0,0,0,0,0,0,0,0.0345696210861206,1,2,5.0
6.76188993453979,0.229887455701828,10.2219409942627,0,1,0,0,0.657087683677673,0.0,3.04452252388,1.0986123085022,0,1,0,0,0,0,0,0,0.0395510196685791,1,2,5.0
6.92230844497681,0.300158470869064,10.9595403671265,0,0,1,0,2.14094996452332,0.6931471824646,3.40119743347168,1.7917594909668,0,0,0,1,0,0,0,0,0.0238237213343382,4,1,7.0
7.24779462814331,0.300243139266968,11.6952466964722,0,0,1,0,2.14094996452332,0.6931471824646,3.61091780662537,1.7917594909668,0,0,0,0,1,0,0,0,0.0158084705471992,4,1,7.0
7.92939519882202,0.300165712833405,11.1913414001465,0,1,0,0,2.14094996452332,1.0986123085022,3.04452252388,1.3862943649292,0,0,0,1,0,0,0,0,0.0517267100512981,4,3,7.0
7.26699638366699,0.300394028425217,10.8685684204102,0,0,1,0,2.14094996452332,0.6931471824646,3.33220458030701,1.3862943649292,0,0,0,1,0,0,0,0,0.0368397459387779,4,2,7.0
